30	thank you a tunnel better for sponsoring 1
1560	this video at CES 2018 tunnel bear makes 1
3929	very easy to use privacy apps for the 1
6089	Internet so that you can enjoy a more 1
7890	open Internet to try it out for free go 1
9960	to telomere comma slash LT t we're here 1
12780	checking out wallet card they're the 0
14460	same size and physical feel as a normal 0
17369	credit card they're still waterproof 0
19289	they're still resistant to tears as 0
21689	they're made out of plastic but you 0
23939	might notice the ePaper display and the 0
26039	left and right buttons on the side you 0
28560	might be wondering why well the wallet 0
30660	card can store up to 100 credit cards 0
32940	within itself the arrow keys are for 0
34950	switching between the cards the ePaper 0
36780	display is for displaying what card you 0
39329	currently have selected it is worth 0
41340	noting however that you can't mix banks 0
44370	and networks on the same wallet card so 0
46920	if you have like a Bank of America visa 0
49260	and a TD MasterCard they can't be on the 0
52230	same wallet card but if you had a USD 0
55800	and a CAD and a rewards card all from 0
58500	the same bank say TD or whatever else 0
60840	that could all be on one wallet card 0
63690	it's all handled for you 0
65309	the cards are added to wallet card over 0
66930	the same secure network that credit 0
68430	cards use right now it's powered by 0
71150	movements in the same way that 0
72900	self-winding watches are so it's never 0
74850	gonna die when you switch cards the tap 0
78210	mag stripe and chip payment methods all 0
80549	automatically switch with it there's 0
82590	even a cellular connection so if you 0
84180	lose the card it can be wiped remotely 0
85830	in the bill for the cellular connection 0
87600	is being footed by your bank although 0
89369	I'm sure that will trickle down to some 0
90869	cost for you at somewhere along the 0
92970	chain another option more based around 0
95280	just one card but with advanced security 0
97409	is well their security card in addition 0
100500	to your standard four digit PIN they 0
102060	have a 12 digit PIN based on one two 0
104549	three four and five the physical input 0
106829	keys on the card this will make it so 0
109229	that you can't even do any form of 0
111119	payments unless the pin has been entered 0
112920	and it won't even show the number for 0
116159	the card on the front unless you enter 0
118560	those digits as well I also wouldn't 0
120780	worry about brute force as by default 0
122159	you can only attempt the access code up 0
124350	to eight times before the card locks up 0
126689	and locks new out 0
128240	go to the bank and get it unlocked very 0
130550	cool security feature for someone who 0
131960	might lose the card as you don't really 0
133970	have to worry that much about losing it 0
135350	anymore it's a code for your credit card 0
136970	is hidden and you can't access it and 0
139040	it's immune to brute force go speaking 1
142280	of making things easier you can use 1
143600	tunnel bear to create a VPN for you and 1
145880	it's all simple you don't have to do any 1
147050	router settings you know if you're doing 1
148310	firewall settings you just turn on the 1
149810	app the bear tunnels you to whatever 1
151340	server location you want and it's all 1
153350	done it's all handled your privacy is 1
155030	secure they'll help protect you against 1
156770	people that are trying to profit off of 1
158600	your data because it will protect from 1
160490	that and did I mention it's free go to 1
162770	tunnel bear comm L flash LTT and they'll 1
165920	take care of it for you thank you for 1
167420	watching this video if you liked it like 0
168650	it if you just liked it dislike to get 0
169820	subscribed to see all the rest of our so 0
170990	yes we 18 content and I'll see you next 0
173270	time 0
174350	with my super secure credit cards 0
